crop,luc,farming
barley,751.542,noTill
maize,66.80000000000001,noTill
soybeans,670.5324444444444,noTill
wheat,28.421875,noTill
oilseedmeals,670.5324444444444,noTill
oilseedmeal,670.5324444444444,noTill
legumesandsilage,670.5324444444444,noTill
rapeseedmeal,670.5324444444444,noTill
wheatbran,28.421875,noTill
freshgrass,28.421875,noTill
hay,28.421875,noTill
grains,389.9819375,noTill
barley,1135.7426666666668,conventionalTill
maize,1641.0007692307695,conventionalTill
soybeans,4338.32938095238,conventionalTill
wheat,1439.502910447761,conventionalTill
oilseedmeals,4338.32938095238,conventionalTill
oilseedmeal,4338.32938095238,conventionalTill
legumesandsilage,4338.32938095238,conventionalTill
rapeseedmeal,4338.32938095238,conventionalTill
wheatbran,1439.502910447761,conventionalTill
freshgrass,1439.502910447761,conventionalTill
hay,1439.502910447761,conventionalTill
grains,1287.6227885572139,conventionalTill
