Taxonomic_Code,fed,diet,fao2002Grp
14118030XX,1,h,CATFISH
1705905102,1,h,TILAPIA
787XXXXXXX,0,0,ALGAE
1230100909,1,c,TROUT
1400200201,1,h,CARP
2280100112,1,o,FRESHWATER PRAWN
2280100120,1,o,FRESHWATER PRAWN
3160700205,0,0,BIVAVLVE
31607008XX,0,0,BIVAVLVE
3161000112,0,0,BIVAVLVE
1400204301,1,h,CARP
3161000105,0,0,BIVAVLVE
1703923508,1,c,OTHERCARNIV
1830300701,1,c,FLATFISH
1413000202,1,h,CATFISH
199XXXXXXX001,1,o,OTHER OMNIVOROUS
1732005101,1,c,OTHERCARNIV
14002XXXXX,1,h,OTHER OMNIVOROUS
1400203501,1,h,CARP
1761001302,1,h,OTHER OMNIVOROUS
17059051XX,1,h,TILAPIA
7870500202,0,0,ALGAE
1771900104,0,0,ALGAE
1400204302,1,o,CARP
1430200204,1,c,EEL
1400213201,1,o,CARP
1700116701,1,c,OTHERCARNIV
1400233501,1,h,OTHER OMNIVOROUS
1703202702,1,c,OTHERCARNIV
1703202707,1,c,OTHERCARNIV
199XXXXXXX010,1,o,OTHER OMNIVOROUS
1410801505,1,h,CATFISH
2281202307,1,o,FRESHWATER PRAWN
2311114001,1,o,CRAB
1380102304,1,c,OTHERCARNIV
13801XXXXX,1,o,OTHER OMNIVOROUS
13812001XX,1,h,OTHER OMNIVOROUS
1380107602,1,o,OTHER OMNIVOROUS
78712004XX,0,0,ALGAE
14110002XX,1,h,CATFISH
16302XXXXX,1,c,OTHERCARNIV
1650100102,1,o,OTHER OMNIVOROUS
1700102510,1,c,OTHERCARNIV
1230101005,1,c,OTHERCARNIV
1430200201,1,c,OTHERCARNIV
1830509201,1,c,OTHERCARNIV
1702301127,1,o,OTHER OMNIVOROUS
3161102002,0,0,BIVALVE
399XXXXXXX016,0,0,BIVALVE
6930400701,1,h,INVERT
1380107601,1,o,OTHER OMNIVOROUS
1703741101,1,c,OTHERCARNIV
1413000203,1,h,CATFISH
1400200701,1,c,OTHERCARNIV
1381200115,1,h,OTHER OMNIVOROUS
1412202102,1,h,OTHER OMNIVOROUS
14122090XX,1,h,OTHER OMNIVOROUS
1430200206,1,c,EEL
3161003202,0,0,BIVALVE
3160803004,0,0,BIVALVE
1240300101,1,c,OTHERCARNIV
5120100119,1,c,AMPH
3160700203,0,0,BIVALVE
3160700801,0,0,BIVALVE
3161000103,0,0,BIVALVE
3161002601,0,0,BIVALVE
3161003801,0,0,BIVALVE
3160803003,0,0,BIVALVE
1700634503,1,c,OTHERCARNIV
229XXXXXXX031,1,o,OTHER  CRUSTACEA
3162605005,0,0,BIVALVE
1702304703,1,c,OTHERCARNIV
2280100111,1,o,MARINE SHRIMP
1400200102,1,c,OTHERCARNIV
1411803003,1,h,CATFISH
1400201601,1,o,CARP
31610XXXXX,0,0,BIVALVE
11701XXXXX,1,c,OTHERCARNIV
1230100402,1,c,TROUT
696XXXXXXX,0,0,INVERT
699XXXXXXX,0,0,INVERT
7710200202,0,0,ALGAE
3160407112,0,0,BIVALVE
3160407107,0,0,BIVALVE
7710400301,0,0,ALGAE
7410700102,0,0,ALGAE
1230100908,1,c,SALMON
22812XXXXX045,1,o,FRESHWATER PRAWN
2311100404,1,o,CRAB
22901XXXXX,1,c,OTHER  CRUSTACEA
316XXXXXXX,0,0,BIVALVE
7872000208,0,0,ALGAE
799XXXXXXX,0,0,ALGAE
16501XXXXX,1,o,OTHER OMNIVOROUS
17002042XX,1,c,OTHERCARNIV
1701436103,1,c,OTHERCARNIV
12301010XX,1,c,OTHERCARNIV
14130002XX,1,h,CATFISH
78705014XX,0,0,ALGAE
1702304801,1,c,OTHERCARNIV
3162300203,0,0,BIVALVE
14302002XX,1,c,EEL
1703906006,1,c,OTHERCARNIV
1230100401,1,c,SALMON
1701400201,1,c,OTHERCARNIV
1411000202,1,h,CATFISH
1411803002,1,h,CATFISH
771XXXXXXX,0,0,ALGAE
1707700201,1,c,OTHERCARNIV
